strategy,model,accuracy,precision,recall,f1_score,roc_auc
weighted,random_forest,0.7455579246624022,0.513986013986014,0.786096256684492,0.6215644820295984,0.8329084075767066
none,random_forest,0.759772565742715,0.5348837209302325,0.7379679144385026,0.6202247191011236,0.8318911741410459
weighted,xgboost,0.7434257285003554,0.5113438045375218,0.7834224598930482,0.6187961985216474,0.8339968214690611
smote,random_forest,0.7683013503909026,0.551948051948052,0.6818181818181818,0.6100478468899522,0.8273848041372671
none,logistic_regression,0.728500355366027,0.49335548172757476,0.7941176470588235,0.6086065573770492,0.8352017124723691
weighted,logistic_regression,0.728500355366027,0.49335548172757476,0.7941176470588235,0.6086065573770492,0.8352017124723691
smote,logistic_regression,0.7320540156361052,0.4974271012006861,0.7754010695187166,0.6060606060606061,0.8335529142573161
smote,xgboost,0.7683013503909026,0.5558139534883721,0.6390374331550802,0.5945273631840796,0.8332293667268896
none,xgboost,0.7974413646055437,0.6421725239616614,0.5374331550802139,0.5851528384279476,0.8403512949666357
