model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
random_forest,0.7874911158493249,0.6306620209059234,0.4839572192513369,0.5476550680786687,0.8136612120867004
xgboost,0.7690120824449183,0.5710144927536231,0.5267379679144385,0.5479833101529903,0.8119127612322761
